event_id,sku_id,warehouse_id,move_type,quantity,occurred_at,unit_cost,source_ref
EVT-20260601-001,SKU-0001,WH-01,INBOUND,200,2026-06-01,45.00,PO-2026-001
EVT-20260601-002,SKU-0002,WH-01,INBOUND,150,2026-06-01,52.00,PO-2026-001
EVT-20260601-003,SKU-0003,WH-01,INBOUND,120,2026-06-02,38.50,PO-2026-002
EVT-20260601-004,SKU-0004,WH-01,INBOUND,300,2026-06-02,,PO-202606-002
EVT-20260601-005,SKU-0005,WH-01,INBOUND,80,2026-06-03,89.00,PO-2026-003
EVT-20260601-006,SKU-0006,WH-01,INBOUND,60,2026-06-03,12.00,PO-2026-003
EVT-20260601-007,SKU-0007,WH-01,INBOUND,50,2026-06-04,8.50,PO-2026-004
EVT-20260601-008,SKU-0008,WH-01,INBOUND,40,2026-06-04,36.00,PO-2026-004
EVT-20260605-101,SKU-0001,WH-01,OUTBOUND,60,2026-06-05,,SO-2026-101
EVT-20260608-102,SKU-0001,WH-01,OUTBOUND,70,2026-06-08,,SO-2026-102
EVT-20260612-103,SKU-0001,WH-01,OUTBOUND,45,2026-06-12,,SO-2026-103
EVT-20260615-104,SKU-0002,WH-01,OUTBOUND,50,2026-06-15,,SO-2026-104
EVT-20260618-105,SKU-0002,WH-01,OUTBOUND,40,2026-06-18,,SO-2026-105
EVT-20260620-106,SKU-0003,WH-01,OUTBOUND,30,2026-06-20,,SO-2026-106
EVT-20260622-107,SKU-0004,WH-01,OUTBOUND,120,2026-06-22,,SO-2026-107
EVT-20260624-108,SKU-0005,WH-01,OUTBOUND,2,2026-06-24,,SO-2026-108
EVT-20260625-701,SKU-0007,WH-01,OUTBOUND,55,2026-06-25,,SO-2026-701
EVT-20260619-201,SKU-0002,WH-01,RETURN,5,2026-06-19,,RMA-2026-201
EVT-20260626-301,SKU-0008,WH-01,SCRAP,3,2026-06-26,,SC-2026-301
EVT-20260628-401,SKU-0003,WH-01,ADJUSTMENT,5,2026-06-28,,ADJ-2026-401
EVT-20260610-501,SKU-0006,WH-01,TRANSFER_OUT,10,2026-06-10,,TRF-2026-501
EVT-20260611-502,SKU-0006,WH-01,TRANSFER_IN,10,2026-06-11,,TRF-2026-502
EVT-20260616-601,SKU-0001,WH-01,REVERSAL,20,2026-06-16,,REV-2026-601
